sample,strategy,strategy_price_type,return_basis,round_trip_ticks,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean,symbol
oos,timing_rROD,executable_next_open,r_LH_executable,0,1224,1224,1.0,8.72907643386993e-06,0.0021997272613352,0.2199727261335222,0.0415010516352612,4.1501051635261215,0.0530041330197578,0.4975490196078431,-0.1353538185034806,8.72907643386993e-06,0.0872907643386993,0.1168154197160081,0.9070255035135526,ES.v.0
oos,always_long,executable_next_open,r_LH_executable,0,1224,1224,1.0,-6.198166074142035e-05,-0.0156193785068379,-1.5619378506837929,0.041489608307508,4.148960830750808,-0.376464834063314,0.4844771241830065,-0.1306531776731139,-6.198166074142035e-05,-0.6198166074142034,-0.8296880845693787,0.4068770731171596,ES.v.0
oos,timing_rONFH,executable_next_open,r_LH_executable,1,1224,1224,1.0,-0.0001040148875672,-0.0262117516669572,-2.6211751666957226,0.0414952242059526,4.149522420595263,-0.6316811673762944,0.4795751633986928,-0.1511677460327852,-0.0001040148875672,-1.0401488756729058,-1.3921574882897132,0.1641277993745367,ES.v.0
oos,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,1,1224,871,0.7116013071895425,-6.0198224284264536e-05,-0.0151699525196346,-1.5169952519634664,0.0345774661385201,3.4577466138520108,-0.4387236606309617,0.3431372549019608,-0.0901381602884974,-6.0198224284264536e-05,-0.6019822428426453,-0.9668998554668464,0.3337852584114267,ES.v.0
oos,timing_rROD,executable_next_open,r_LH_executable,1,1224,1224,1.0,-4.424051125660855e-05,-0.0111486088366653,-1.1148608836665357,0.0414920450210285,4.149204502102859,-0.2686926814770187,0.4893790849673202,-0.1564149108809656,-4.424051125660855e-05,-0.4424051125660855,-0.5921698285237051,0.553846327568464,ES.v.0
oos,always_long,executable_next_open,r_LH_executable,1,1224,1224,1.0,-0.0001149512484318,-0.0289677146048385,-2.89677146048385,0.0414939697937862,4.149396979378627,-0.6981186603451093,0.4763071895424836,-0.1540150272264091,-0.0001149512484318,-1.149512484318988,-1.538578591397625,0.1241658785434438,ES.v.0
oos,timing_rONFH,executable_next_open,r_LH_executable,2,1224,1224,1.0,-0.0001569844752577,-0.0395600877649578,-3.9560087764957808,0.0414975706439851,4.149757064398518,-0.9533109324483264,0.468954248366013,-0.1904604066478071,-0.0001569844752577,-1.5698447525776908,-2.1009949667943695,0.0358456512157776,ES.v.0
oos,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,2,1224,871,0.7116013071895425,-9.805085893458008e-05,-0.0247088164515141,-2.470881645151418,0.034582351248811,3.4582351248811,-0.7144920908859173,0.3374183006535948,-0.1211232777586008,-9.805085893458008e-05,-0.9805085893458008,-1.5746638747867985,0.1155926821000965,ES.v.0
oos,timing_rROD,executable_next_open,r_LH_executable,2,1224,1224,1.0,-9.7210098947087e-05,-0.0244969449346659,-2.449694493466592,0.0414835240679284,4.148352406792844,-0.5905222732416047,0.4779411764705882,-0.1827180193577865,-9.7210098947087e-05,-0.97210098947087,-1.3014477036093688,0.1933503580642486,ES.v.0
oos,always_long,executable_next_open,r_LH_executable,2,1224,1224,1.0,-0.0001679208361223,-0.042316050702839,-4.231605070283908,0.041498818258569,4.149881825856901,-1.0196929088240076,0.4607843137254901,-0.192573772500877,-0.0001679208361223,-1.679208361223773,-2.2472937172901624,0.0247989531919488,ES.v.0
