sample,strategy,strategy_price_type,return_basis,round_trip_ticks,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean
oos,always_long,paper_statistical,r_LH,3,1221,1221,1.0,-0.00041731035257856574,-0.10516220884979857,-10.516220884979857,0.010669661370985066,1.0669661370985066,-9.85618991955783,0.16461916461916462,-0.399387080205569,-0.00041731035257856574,-4.173103525785657,-21.695348209507653,0.0
oos,timing_rONFH,executable_next_open,r_LH_executable,0,1221,1221,1.0,7.490203871798172e-05,0.018875313756931394,1.8875313756931393,0.010496675671992943,1.0496675671992943,1.7982182499259451,0.4881244881244881,-0.016243909448323213,7.490203871798172e-05,0.7490203871798172,3.95822030695864,7.986918058633385e-05
oos,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,0,1221,929,0.7608517608517609,8.182824289455614e-05,0.02062071720942815,2.0620717209428148,0.009111724810009016,0.9111724810009016,2.2630970139458966,0.38984438984438985,-0.009970925557938215,8.182824289455614e-05,0.8182824289455615,4.981506865246759,7.216799446929656e-07
oos,timing_rROD,executable_next_open,r_LH_executable,0,1221,1221,1.0,9.086485388196385e-05,0.02289794317825489,2.289794317825489,0.010464838021249286,1.0464838021249285,2.1880838606158712,0.5012285012285013,-0.011722287837943601,9.086485388196385e-05,0.9086485388196385,4.816388650696251,1.6451419342367046e-06
oos,always_long,executable_next_open,r_LH_executable,0,1221,1221,1.0,-8.623078023995295e-06,-0.0021730156620468144,-0.21730156620468144,0.01056297330557038,1.056297330557038,-0.20572007513271623,0.4135954135954136,-0.023353202015037655,-8.623078023995295e-06,-0.08623078023995295,-0.452829003917021,0.6507523926076253
oos,timing_rONFH,executable_next_open,r_LH_executable,1,1221,1221,1.0,-5.9176573475737516e-05,-0.014912496515885854,-1.4912496515885854,0.010491039675652182,1.0491039675652183,-1.4214507786578177,0.43243243243243246,-0.07090659283637324,-5.9176573475737516e-05,-0.5917657347573752,-3.128883458755495,0.0017963044182467414
oos,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,1,1221,929,0.7608517608517609,-1.9916627552134055e-05,-0.005018990143137782,-0.5018990143137783,0.009077502858084447,0.9077502858084446,-0.5529042757246677,0.34807534807534807,-0.029632460203705246,-1.9916627552134055e-05,-0.19916627552134056,-1.2170474479767772,0.22382153578658714
oos,timing_rROD,executable_next_open,r_LH_executable,1,1221,1221,1.0,-4.3213758311755384e-05,-0.010889867094562357,-1.0889867094562358,0.010460135698157609,1.0460135698157609,-1.0410827745265714,0.44553644553644556,-0.05266000874959231,-4.3213758311755384e-05,-0.43213758311755385,-2.291621153063941,0.022097258605231263
oos,always_long,executable_next_open,r_LH_executable,1,1221,1221,1.0,-0.00014270169021771454,-0.03596082593486406,-3.5960825934864062,0.010560756089453473,1.0560756089453474,-3.405137438102224,0.3579033579033579,-0.16014092171870897,-0.00014270169021771454,-1.4270169021771455,-7.495355002673569,1.2656542480726785e-13
oos,timing_rONFH,executable_next_open,r_LH_executable,2,1221,1221,1.0,-0.00019325518566945676,-0.0487003067887031,-4.87003067887031,0.010487588318478283,1.0487588318478283,-4.643613508636403,0.2989352989352989,-0.21069938019174572,-0.00019325518566945676,-1.9325518566945676,-10.221476335427594,0.0
oos,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,2,1221,929,0.7608517608517609,-0.00012166149799882427,-0.030658697495703716,-3.0658697495703717,0.009135393144121507,0.9135393144121506,-3.3560348210555278,0.24406224406224405,-0.13852915773656427,-0.00012166149799882427,-1.2166149799882426,-7.387270805481679,2.7711166694643907e-13
oos,timing_rROD,executable_next_open,r_LH_executable,2,1221,1221,1.0,-0.00017729237050547462,-0.044677677367379605,-4.467767736737961,0.010457625198171512,1.0457625198171512,-4.272258425860527,0.3104013104013104,-0.19516036947089577,-0.00017729237050547462,-1.7729237050547462,-9.404053183484654,0.0
oos,always_long,executable_next_open,r_LH_executable,2,1221,1221,1.0,-0.00027678030241143375,-0.0697486362076813,-6.97486362076813,0.010560710925706611,1.0560710925706611,-6.604539855162683,0.23914823914823916,-0.28691324758298964,-0.00027678030241143375,-2.7678030241143374,-14.53784810264227,0.0
oos,timing_rONFH,executable_next_open,r_LH_executable,3,1221,1221,1.0,-0.000327333797863176,-0.08248811706152034,-8.248811706152035,0.010486323757558232,1.0486323757558231,-7.866256942721738,0.21212121212121213,-0.3295663178918966,-0.000327333797863176,-3.27333797863176,-17.315127333246583,0.0
oos,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,3,1221,929,0.7608517608517609,-0.00022340636844551446,-0.056298404848269645,-5.629840484826964,0.009283672672532495,0.9283672672532495,-6.064238457570693,0.171990171990172,-0.2387873432266744,-0.00022340636844551446,-2.2340636844551445,-13.348541985926555,0.0
oos,timing_rROD,executable_next_open,r_LH_executable,3,1221,1221,1.0,-0.0003113709826991938,-0.07846548764019684,-7.846548764019684,0.010457308099872858,1.045730809987286,-7.503411670652683,0.21457821457821458,-0.31636569324437436,-0.0003113709826991938,-3.113709826991938,-16.516435892846168,0.0
oos,always_long,executable_next_open,r_LH_executable,3,1221,1221,1.0,-0.000410858914605153,-0.10353644648049856,-10.353644648049857,0.010562837842191062,1.0562837842191062,-9.801953606344663,0.1678951678951679,-0.3945633116981181,-0.000410858914605153,-4.10858914605153,-21.57596377085914,0.0
