sample,strategy,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean,year
replication,timing_rROD,243,243,1.0,-4.378296464801851e-05,-0.011033307091300664,-1.1033307091300664,0.03461076211970608,3.461076211970608,-0.3187825524656306,0.4609053497942387,-0.0558624084463184,-4.378296464801851e-05,-0.4378296464801851,-0.31303825219392517,0.754521212729206,2012
replication,always_long,243,243,1.0,-5.461748141428938e-06,-0.0013763605316400925,-0.13763605316400926,0.0346176598452869,3.46176598452869,-0.03975891316141291,0.5020576131687243,-0.03887047246010089,-5.461748141428938e-06,-0.05461748141428938,-0.039042477666718,0.9688887110833071,2012
replication,timing_rONFH,245,245,1.0,-1.1994870021385526e-05,-0.0030227072453891525,-0.30227072453891524,0.02907452359941116,2.907452359941116,-0.10396411948261022,0.49387755102040815,-0.028340380563592005,-1.1994870021385526e-05,-0.11994870021385526,-0.10251000423980387,0.9184360680209771,2013
replication,timing_agree_ONFH_ROD,245,175,0.7142857142857143,-7.722056023447633e-05,-0.019459581179088036,-1.9459581179088037,0.02250588753157505,2.250588753157505,-0.8646440248929023,0.3224489795918367,-0.03410277647415283,-7.722056023447633e-05,-0.7722056023447633,-0.8525505058744633,0.3947446773417893,2013
replication,timing_rROD,245,245,1.0,-0.00017907628707760365,-0.04512722434355612,-4.512722434355612,0.028935272464399715,2.8935272464399713,-1.5595921690068082,0.42448979591836733,-0.055692165776484615,-0.00017907628707760365,-1.7907628707760366,-1.5377786168236096,0.12539849970125605,2013
replication,always_long,245,245,1.0,-9.589329513079097e-05,-0.024165110372959323,-2.4165110372959324,0.029035109075564274,2.903510907556427,-0.8322720713763908,0.49387755102040815,-0.04238333553706186,-9.589329513079097e-05,-0.9589329513079097,-0.8206313292513845,0.41265729153415975,2013
replication,timing_rONFH,239,239,1.0,0.00010394825544317281,0.026194960371679548,2.6194960371679548,0.031168104665988187,3.1168104665988188,0.8404412347942504,0.5104602510460251,-0.01914456017410371,0.00010394825544317281,1.039482554431728,0.8184761564946248,0.4139040819487203,2014
replication,timing_agree_ONFH_ROD,239,181,0.7573221757322176,5.465194148700173e-05,0.013772289254724436,1.3772289254724437,0.027538334876509245,2.7538334876509243,0.500113362571986,0.36401673640167365,-0.022877263068541764,5.465194148700173e-05,0.5465194148700173,0.4870428125884741,0.6266762456165145,2014
replication,timing_rROD,239,239,1.0,7.781052386439037e-06,0.0019608252013826374,0.19608252013826374,0.03121169313501495,3.121169313501495,0.0628234166246777,0.46443514644351463,-0.03525229419446718,7.781052386439037e-06,0.07781052386439037,0.061181515670652206,0.951265996106933,2014
replication,always_long,239,239,1.0,2.0707645798602278e-05,0.005218326741247774,0.5218326741247774,0.031210200198842915,3.1210200198842917,0.16719939981164356,0.5648535564853556,-0.030876914767586916,2.0707645798602278e-05,0.20707645798602278,0.16282961432698412,0.8707907594453839,2014
replication,timing_rONFH,246,246,1.0,0.00011219282432053653,0.028272591728775203,2.8272591728775205,0.04487646729491628,4.487646729491628,0.6300092995951576,0.4878048780487805,-0.0501722979694994,0.00011219282432053653,1.1219282432053652,0.6224640058561357,0.5342157033578896,2015
