sample,strategy,strategy_price_type,return_basis,round_trip_ticks,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean,year
replication,always_long,paper_statistical,r_LH,0,238,238,1.0,-0.00025058058830564766,-0.06314630825302321,-6.314630825302321,0.07299988684642626,7.299988684642626,-0.8650192620964942,0.5,-0.11845342833780126,-0.00025058058830564766,-2.5058058830564764,-0.8406476175665393,0.4013926843799043,2019
replication,timing_rONFH,paper_statistical,r_LH,0,77,77,1.0,0.0003335927058310215,0.08406536186941742,8.406536186941741,0.5397004061763261,53.970040617632606,0.15576301390062755,0.5454545454545454,-0.2887212887775116,0.0003335927058310215,3.335927058310215,0.08610124555388236,0.9316123685677802,2020
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,77,63,0.8181818181818182,0.0007256770546730809,0.1828706177776164,18.28706177776164,0.5041467537675033,50.41467537675033,0.36273290745406767,0.42857142857142855,-0.24966764122113438,0.0007256770546730809,7.2567705467308095,0.20050815885664197,0.8416187764440735,2020
replication,timing_rROD,paper_statistical,r_LH,0,77,77,1.0,0.0011177614035151405,0.28167587368581537,28.167587368581536,0.539431137289173,53.943113728917304,0.5221720701947862,0.4935064935064935,-0.25269775675381045,0.0011177614035151405,11.177614035151404,0.28864147213987135,0.7736415613426575,2020
replication,always_long,paper_statistical,r_LH,0,77,77,1.0,0.004083168508034554,1.0289584640247078,102.89584640247078,0.5357688386754712,53.57688386754712,1.920526894711721,0.5324675324675324,-0.12288604217778454,0.004083168508034554,40.831685080345544,1.0616111849241947,0.29177415969311116,2020
replication,timing_rONFH,executable_next_open,r_LH_executable,0,137,137,1.0,0.0008829607743186112,0.22250611512829002,22.250611512829003,0.06670373911494443,6.670373911494442,3.335736767992356,0.6204379562043796,-0.024798362625005232,0.0008829607743186112,8.829607743186113,2.459528079807443,0.015167016377559461,2010
replication,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,0,137,106,0.7737226277372263,0.000478636946338086,0.12061651047719768,12.061651047719767,0.059792123869334975,5.979212386933497,2.0172641925345145,0.45255474452554745,-0.022892130520734688,0.000478636946338086,4.7863694633808604,1.4873829294734373,0.13922855979124615,2010
replication,timing_rROD,executable_next_open,r_LH_executable,0,137,137,1.0,-1.1443333319675867e-05,-0.0028837199965583184,-0.2883719996558318,0.06817084663626494,6.817084663626494,-0.04230136691634195,0.5036496350364964,-0.06653853281564137,-1.1443333319675867e-05,-0.11443333319675866,-0.03118993103511549,0.9751637958927717,2010
replication,always_long,executable_next_open,r_LH_executable,0,137,137,1.0,0.0004923297481662347,0.12406709653789115,12.406709653789115,0.06771828792091666,6.771828792091666,1.8321062204463914,0.5474452554744526,-0.029221597170792535,0.0004923297481662347,4.923297481662347,1.3508609964718028,0.17898320079903862,2010
replication,timing_rONFH,executable_next_open,r_LH_executable,0,238,238,1.0,0.0003284408673467867,0.08276709857139025,8.276709857139025,0.09284674712098588,9.284674712098589,0.8914377847135437,0.542016806722689,-0.07181387417958385,0.0003284408673467867,3.2844086734678672,0.8663218066520225,0.38718988947885324,2011
