spec,pipeline_version,predictor,nobs,nw_lags,beta_replication,beta_replication_x100,beta_oos_minus_replication,beta_oos_minus_replication_x100,beta_oos_implied,beta_oos_implied_x100,difference_se_hac,difference_t_hac,difference_p_hac,difference_ci_low,difference_ci_high,symbol
eq5_onfh,boundary_corrected_v1,r_ONFH,3600,8,0.0154834737219043,1.5483473721904368,0.0152063210439159,1.5206321043915974,0.0306897947658203,3.0689794765820344,0.0111216582883129,1.3672710174790474,0.1716258278266401,-0.006599068004815,0.037011710092647,ZN.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_ONFH,3600,8,0.0172504236788556,1.7250423678855629,0.0135963492247091,1.3596349224709126,0.0308467729035647,3.0846772903564754,0.0112221165944968,1.2115672752301043,0.2257577635972134,-0.0084060090296464,0.0355987074790647,ZN.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_M,3600,8,0.0155666157397153,1.5566615739715377,0.0107763394961337,1.0776339496133789,0.0263429552358491,2.6342955235849166,0.0125038052143074,0.8618447993577945,0.3888304587730813,-0.0137389290408891,0.0352916080331567,ZN.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_SLH,3600,8,0.1137869894878527,11.378698948785276,-0.1730499745200904,-17.304997452009047,-0.0592629850322377,-5.92629850322377,0.0883402029993802,-1.9589039717432457,0.0502012923135904,-0.3462519528000178,0.0001520037598368,ZN.v.0
eq7_rod,boundary_corrected_v1,r_ROD,3600,8,0.0203730424049425,2.0373042404942554,0.0065114979721288,0.6511497972128877,0.0268845403770714,2.6884540377071433,0.0082379412345169,0.7904278249577394,0.4293300797221699,-0.0096400064998245,0.0226630024440822,ZN.v.0
eq5_onfh,boundary_corrected_v1,r_ONFH,3626,8,0.0044460953957582,0.4446095395758268,-0.0018046861246338,-0.1804686124633847,0.0026414092711244,0.2641409271124421,0.0078690787449495,-0.2293389332000407,0.8186184443790431,-0.0172329526947725,0.0136235804455048,6E.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_ONFH,3626,8,0.0090488682095403,0.9048868209540372,-0.0048545386845224,-0.4854538684522409,0.0041943295250179,0.4194329525017963,0.0084358322678377,-0.575466478041615,0.5650116431008884,-0.0213939991839694,0.0116849218149246,6E.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_M,3626,8,0.0053726231011238,0.5372623101123879,0.000999508785013,0.0999508785013073,0.0063721318861369,0.6372131886136952,0.0093373344951979,0.1070443374955779,0.9147597405581446,-0.0173074549086871,0.0193064724787133,6E.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_SLH,3626,8,-0.1812527497538581,-18.125274975385818,0.2301201181614525,23.01201181614525,0.0488673684075943,4.886736840759437,0.084717040577238,2.716338018815093,0.0066322400022577,0.0640222037210055,0.3962180326018994,6E.v.0
eq7_rod,boundary_corrected_v1,r_ROD,3626,8,-0.0012900491567603,-0.1290049156760358,0.0062646181667152,0.6264618166715226,0.0049745690099548,0.4974569009954867,0.0061209459403855,1.0234722259809124,0.3061529754293738,-0.0057362257300733,0.0182654620635038,6E.v.0
