symbol,sample,spec,predictor,beta_x100,nw_se_x100,t,p,adj_r2_x100,n,start,end
CL.v.0,oos,eq7_rod,ROD,-0.1580086578718635,0.78886805531015,-0.2002979545289617,0.8412811930165605,-0.0760426285988158,1213,2021-01-05,2025-12-31
ZN.v.0,replication,eq5_onfh,ONFH,1.5483473721904408,0.8284015822762201,1.869078240937191,0.0617348156848121,0.2736502297471355,2379,2010-06-08,2020-05-01
ZN.v.0,replication,eq6_onfh_m_slh,ONFH,1.7250423678855646,0.84849769281568,2.03305487155907,0.0421579807954406,1.999783906850716,2379,2010-06-08,2020-05-01
ZN.v.0,replication,eq6_onfh_m_slh,M,1.556661573971541,0.9995531912161,1.557357414944197,0.1195188864917068,1.999783906850716,2379,2010-06-08,2020-05-01
ZN.v.0,replication,eq6_onfh_m_slh,SLH,11.37869894878528,4.50497369984438,2.525808075012366,0.0116077870868307,1.999783906850716,2379,2010-06-08,2020-05-01
ZN.v.0,replication,eq7_rod,ROD,2.0373042404942523,0.62948898569211,3.236441441869353,0.0012269297990155,0.9429195880602091,2379,2010-06-08,2020-05-01
ZN.v.0,oos,eq5_onfh,ONFH,3.0689794765820366,0.7365078742483899,4.166933693294108,3.305079314816215e-05,1.7854859074778684,1221,2021-01-05,2025-12-31
ZN.v.0,oos,eq6_onfh_m_slh,ONFH,3.084677290356475,0.72719798485703,4.241867214418813,2.384686072039051e-05,2.9250108228685123,1221,2021-01-05,2025-12-31
ZN.v.0,oos,eq6_onfh_m_slh,M,2.6342955235849197,0.75918032503385,3.469920698310298,0.0005388256744598,2.9250108228685123,1221,2021-01-05,2025-12-31
ZN.v.0,oos,eq6_onfh_m_slh,SLH,-5.926298503223793,7.5787040614534895,-0.7819672671170658,0.4343859171339461,2.9250108228685123,1221,2021-01-05,2025-12-31
ZN.v.0,oos,eq7_rod,ROD,2.6884540377071424,0.52884485462908,5.083634669363954,4.282295055615881e-07,2.3333460055594446,1221,2021-01-05,2025-12-31
6E.v.0,replication,eq5_onfh,ONFH,0.4446095395758264,0.5613999051372001,0.7919658259777718,0.4284590014840922,-0.0055246898581717,2398,2010-06-08,2020-05-01
6E.v.0,replication,eq6_onfh_m_slh,ONFH,0.904886820954034,0.6269358072082,1.4433484426157976,0.149053174540793,2.9879296180184145,2398,2010-06-08,2020-05-01
6E.v.0,replication,eq6_onfh_m_slh,M,0.5372623101123923,0.76527739207098,0.7020491075248648,0.4827167862569291,2.9879296180184145,2398,2010-06-08,2020-05-01
6E.v.0,replication,eq6_onfh_m_slh,SLH,-18.125274975385803,7.566761973991951,-2.3953806182466133,0.0166795097415869,2.9879296180184145,2398,2010-06-08,2020-05-01
6E.v.0,replication,eq7_rod,ROD,-0.1290049156760361,0.46482496091882,-0.2775343979398853,0.7813937404309992,-0.0360137802174032,2398,2010-06-08,2020-05-01
6E.v.0,oos,eq5_onfh,ONFH,0.2641409271124419,0.55085126163996,0.4795140639708353,0.6316584897136801,-0.0530681602467053,1228,2021-01-05,2025-12-31
6E.v.0,oos,eq6_onfh_m_slh,ONFH,0.4194329525017913,0.56291018600402,0.7451152296234943,0.4563451096602881,0.2509067173676826,1228,2021-01-05,2025-12-31
6E.v.0,oos,eq6_onfh_m_slh,M,0.637213188613696,0.5590031672317299,1.1399098000987609,0.2545468935969125,0.2509067173676826,1228,2021-01-05,2025-12-31
6E.v.0,oos,eq6_onfh_m_slh,SLH,4.886736840759438,3.7141635787690697,1.3157031824589096,0.1885200623405235,0.2509067173676826,1228,2021-01-05,2025-12-31
6E.v.0,oos,eq7_rod,ROD,0.4974569009954868,0.39293172922619,1.2660135692659336,0.2057487331903805,0.1111725973193755,1228,2021-01-05,2025-12-31
